country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Albania,89.0,132.0,54.0,4.9
Algeria,25.0,0.0,14.0,0.7
Andorra,245.0,138.0,312.0,12.4
Angola,217.0,57.0,45.0,5.9
Antigua & Barbuda,102.0,128.0,45.0,4.9
Argentina,193.0,25.0,221.0,8.3
Armenia,21.0,179.0,11.0,3.8
Australia,261.0,72.0,212.0,10.4
Austria,279.0,75.0,191.0,9.7
Azerbaijan,21.0,46.0,5.0,1.3
Bahamas,122.0,176.0,51.0,6.3
Bahrain,42.0,63.0,7.0,2.0
Barbados,143.0,173.0,36.0,6.3
Belarus,142.0,373.0,42.0,14.4
Belgium,295.0,84.0,212.0,10.5
Belize,263.0,114.0,8.0,6.8
Benin,34.0,4.0,13.0,1.1
Bhutan,23.0,0.0,0.0,0.4
Bolivia,167.0,41.0,8.0,3.8
Bosnia-Herzegovina,76.0,173.0,8.0,4.6
Botswana,173.0,35.0,35.0,5.4
Brazil,245.0,145.0,16.0,7.2
Brunei,31.0,2.0,1.0,0.6
Bulgaria,231.0,252.0,94.0,10.3
Burkina Faso,25.0,7.0,7.0,4.3
Burundi,88.0,0.0,0.0,6.3
Cabo Verde,144.0,56.0,16.0,4.0
Cambodia,57.0,65.0,1.0,2.2
Cameroon,147.0,1.0,4.0,5.8
Canada,240.0,122.0,100.0,8.2
Central African Republic,17.0,2.0,1.0,1.8
Chad,15.0,1.0,1.0,0.4
Chile,130.0,124.0,172.0,7.6
China,79.0,192.0,8.0,5.0
Colombia,159.0,76.0,3.0,4.2
Comoros,1.0,3.0,1.0,0.1
Congo,76.0,1.0,9.0,1.7
Cook Islands,0.0,254.0,74.0,5.9
Costa Rica,149.0,87.0,11.0,4.4
Cote d'Ivoire,37.0,1.0,7.0,4.0
Croatia,230.0,87.0,254.0,10.2
Cuba,93.0,137.0,5.0,4.2
Cyprus,192.0,154.0,113.0,8.2
Czech Republic,361.0,170.0,134.0,11.8
DR Congo,32.0,3.0,1.0,2.3
Denmark,224.0,81.0,278.0,10.4
Djibouti,15.0,44.0,3.0,1.1
Dominica,52.0,286.0,26.0,6.6
Dominican Republic,193.0,147.0,9.0,6.2
Ecuador,162.0,74.0,3.0,4.2
Egypt,6.0,4.0,1.0,0.2
El Salvador,52.0,69.0,2.0,2.2
Equatorial Guinea,92.0,0.0,233.0,5.8
Eritrea,18.0,0.0,0.0,0.5
Estonia,224.0,194.0,59.0,9.5
Ethiopia,20.0,3.0,0.0,0.7
Fiji,77.0,35.0,1.0,2.0
Finland,263.0,133.0,97.0,10.0
France,127.0,151.0,370.0,11.8
Gabon,347.0,98.0,59.0,8.9
Gambia,8.0,0.0,1.0,2.4
Georgia,52.0,100.0,149.0,5.4
Germany,346.0,117.0,175.0,11.3
Ghana,31.0,3.0,10.0,1.8
Greece,133.0,112.0,218.0,8.3
Grenada,199.0,438.0,28.0,11.9
Guatemala,53.0,69.0,2.0,2.2
Guinea,9.0,0.0,2.0,0.2
Guinea-Bissau,28.0,31.0,21.0,2.5
Guyana,93.0,302.0,1.0,7.1
Haiti,1.0,326.0,1.0,5.9
Honduras,69.0,98.0,2.0,3.0
Hungary,234.0,215.0,185.0,11.3
Iceland,233.0,61.0,78.0,6.6
India,9.0,114.0,0.0,2.2
Indonesia,5.0,1.0,0.0,0.1
Iraq,9.0,3.0,0.0,0.2
Ireland,313.0,118.0,165.0,11.4
Israel,63.0,69.0,9.0,2.5
Italy,85.0,42.0,237.0,6.5
Jamaica,82.0,97.0,9.0,3.4
Japan,77.0,202.0,16.0,7.0
Jordan,6.0,21.0,1.0,0.5
Kazakhstan,124.0,246.0,12.0,6.8
Kenya,58.0,22.0,2.0,1.8
Kiribati,21.0,34.0,1.0,1.0
Kyrgyzstan,31.0,97.0,6.0,2.4
Laos,62.0,0.0,123.0,6.2
Latvia,281.0,216.0,62.0,10.5
Lebanon,20.0,55.0,31.0,1.9
Lesotho,82.0,29.0,0.0,2.8
Liberia,19.0,152.0,2.0,3.1
Lithuania,343.0,244.0,56.0,12.9
Luxembourg,236.0,133.0,271.0,11.4
Macedonia,106.0,27.0,86.0,3.9
Madagascar,26.0,15.0,4.0,0.8
Malawi,8.0,11.0,1.0,1.5
